States/UTs,District,Constituency,Year,Murder,Culpable Homicide,Rape,Kidnapping & Abduction,Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Acid attack,Dowry Deaths,Sexual Harassment,Cruelty,Causing Death by Negligence,Extortion,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total crimes against SCs,Voyeurism,Stalking,Abetment of Suicides of Women,Immoral Traffic Prevention Act,Total_Count
Andhra Pradesh,Vizianagaram,Kurupam,2019,17,5,13,20,2,9,11,34,4,14,8,2,7,3,3,13,1,3,15,5,11,3,1,2,3,24,31,5,6,3,2,280
Andhra Pradesh,Vizianagaram,Parvathipuram,2019,21,9,17,14,6,13,15,87,8,18,12,6,11,7,7,17,4,7,19,0,15,7,0,0,7,54,26,9,11,7,6,440
Andhra Pradesh,Vizianagaram,Salur,2019,18,6,14,21,2,10,12,51,0,13,7,1,8,4,2,14,2,4,14,6,10,0,2,3,2,22,34,6,7,4,3,302
Andhra Pradesh,Vizianagaram,Bobbili,2019,32,3,17,15,0,13,12,11,3,15,0,3,2,0,3,19,11,0,12,0,9,8,6,1,1,78,29,0,3,2,1,309
Andhra Pradesh,Vizianagaram,Cheepurupalli,2019,8,1,3,3,0,2,6,87,0,8,2,2,3,0,0,5,2,2,9,1,3,2,0,0,0,15,10,0,0,0,0,174
Andhra Pradesh,Vizianagaram,Gajapathinagaram,2019,3,0,1,0,1,1,2,5,0,3,0,1,1,1,0,2,1,1,3,0,0,1,2,1,1,10,5,1,2,1,0,50
Andhra Pradesh,Vizianagaram,Nellimarla,2019,9,2,4,4,2,3,7,11,1,9,3,3,4,1,4,20,13,5,13,5,7,0,7,3,2,28,19,3,1,2,2,197
Andhra Pradesh,Vizianagaram,Vizianagaram,2019,104,20,94,103,12,48,31,183,34,46,34,20,19,14,23,89,7,8,190,42,45,2,30,10,9,188,197,12,7,9,3,1633
Andhra Pradesh,Vizianagaram,Srungavarapukota,2019,13,0,7,5,0,3,17,24,4,20,4,7,9,0,3,14,9,1,17,9,13,13,9,0,1,42,29,4,0,0,1,278
Andhra Pradesh,Visakhapatnam,Bhimili,2019,24,4,34,45,6,56,32,76,2,42,9,14,13,9,10,35,21,12,53,20,12,7,11,9,4,75,70,4,0,0,0,709
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,2019,175,24,210,198,31,145,124,234,146,94,174,34,20,38,13,201,8,10,134,8,13,0,40,1,7,67,21,0,2,1,6,2179
Andhra Pradesh,Visakhapatnam,Visakhapatnam South,2019,195,10,226,210,24,168,103,200,113,130,104,72,34,49,14,120,30,2,101,13,24,3,19,6,0,42,16,15,0,3,0,2046
Andhra Pradesh,Visakhapatnam,Visakhapatnam North,2019,145,23,197,207,19,120,98,378,238,102,84,8,16,83,20,152,9,13,94,49,23,4,39,0,6,110,0,9,7,0,0,2253
Andhra Pradesh,Visakhapatnam,Visakhapatnam West,2019,123,34,183,189,34,137,114,493,120,97,67,11,48,61,9,134,17,9,34,13,7,2,21,3,3,104,4,13,0,0,0,2084
Andhra Pradesh,Visakhapatnam,Gajuwaka,2019,53,8,22,28,4,33,20,23,7,26,9,11,14,8,4,28,19,11,30,13,22,17,11,5,4,77,44,7,11,7,6,582
Andhra Pradesh,Visakhapatnam,Chodavaram,2019,10,0,6,4,1,2,16,23,3,19,3,6,7,1,2,11,8,0,15,7,12,11,7,1,0,33,22,3,1,0,0,234
Andhra Pradesh,Visakhapatnam,Madugula,2019,8,1,3,2,0,1,13,19,1,13,1,2,3,0,0,8,5,1,12,4,8,7,3,0,1,25,17,2,0,1,1,162
Andhra Pradesh,Visakhapatnam,Araku Valley,2019,32,3,17,15,0,13,12,11,3,15,2,3,2,0,3,19,11,3,12,3,9,8,6,1,1,55,34,5,6,3,5,312
Andhra Pradesh,Visakhapatnam,Paderu,2019,17,5,13,20,2,9,11,98,4,14,8,2,7,3,3,13,1,3,15,5,11,3,1,2,3,24,31,5,6,3,2,344
Andhra Pradesh,Visakhapatnam,Anakapalle,2019,55,9,27,33,8,38,25,28,11,29,13,16,17,11,9,33,23,14,33,17,27,25,16,7,8,79,47,9,13,6,3,689
Andhra Pradesh,Visakhapatnam,Pendurthi,2019,17,5,13,20,2,9,11,15,4,14,8,2,7,3,3,13,1,3,15,5,11,3,1,2,3,24,31,5,6,3,2,261
Andhra Pradesh,Visakhapatnam,Elamanchili,2019,10,3,7,10,0,3,6,12,2,6,3,1,3,1,2,8,0,1,7,2,8,1,0,1,1,11,15,2,3,1,0,130
Andhra Pradesh,Visakhapatnam,Payakaraopet,2019,11,4,6,9,1,2,5,95,3,5,4,2,4,2,1,9,1,2,6,3,9,2,1,2,0,13,31,5,6,2,2,248
Andhra Pradesh,Visakhapatnam,Narsipatnam,2019,60,16,30,33,9,38,27,29,14,29,17,15,18,11,8,23,17,15,35,19,24,18,17,9,8,80,50,14,16,8,9,716
Andhra Pradesh,East Godavari,Tuni,2019,78,25,45,48,18,47,33,37,26,38,28,30,28,29,17,45,37,31,51,35,28,22,19,20,15,95,43,11,7,17,12,1015
Andhra Pradesh,East Godavari,Prathipadu,2019,32,3,17,15,0,13,12,88,3,15,2,3,2,0,3,19,11,3,12,3,9,8,6,1,1,55,29,0,3,2,1,371
Andhra Pradesh,East Godavari,Pithapuram,2019,44,15,22,21,12,17,22,21,16,18,16,12,11,6,9,15,11,12,18,12,10,9,8,11,5,57,33,8,4,5,2,482
Andhra Pradesh,East Godavari,Kakinada Rural,2019,42,6,19,23,3,16,14,29,1,19,8,3,11,4,2,21,2,4,23,4,16,3,4,2,0,68,35,1,9,6,3,401
Andhra Pradesh,East Godavari,Peddapuram,2019,20,3,11,15,1,8,7,13,2,7,4,2,5,1,1,11,1,2,13,2,9,2,1,1,0,29,24,0,4,2,0,201
Andhra Pradesh,East Godavari,Anaparthy,2019,10,5,8,12,2,4,5,34,0,4,2,1,3,0,1,8,0,4,18,2,4,1,0,2,1,20,11,1,2,1,1,167
Andhra Pradesh,East Godavari,Kakinada City,2019,80,27,48,52,22,53,37,41,28,41,34,35,29,32,22,49,39,38,55,38,31,19,24,18,18,108,25,16,9,19,10,1097
Andhra Pradesh,East Godavari,Ramachandrapuram,2019,21,9,17,14,6,13,15,19,8,18,12,6,11,7,7,17,4,7,19,9,15,7,5,6,7,28,26,9,11,7,6,366
Andhra Pradesh,East Godavari,Mummidivaram,2019,15,5,12,10,3,6,7,9,4,8,6,3,7,5,3,9,1,3,11,3,8,4,1,3,2,15,12,4,5,5,3,192
Andhra Pradesh,East Godavari,Amalapuram,2019,17,5,13,20,2,9,11,15,4,14,8,2,7,3,3,13,1,3,15,5,11,3,1,2,3,24,31,5,6,3,2,261
Andhra Pradesh,East Godavari,Razole,2019,12,3,8,11,0,5,6,10,0,8,2,2,3,0,0,5,2,2,9,1,3,2,2,0,0,15,34,0,0,0,0,145
Andhra Pradesh,East Godavari,Gannavaram,2019,15,3,10,18,0,8,7,98,0,11,4,1,5,2,1,10,0,1,13,2,8,0,2,0,0,20,19,2,2,0,0,262
Andhra Pradesh,East Godavari,Kothapeta,2019,43,6,21,22,2,25,17,19,5,21,6,8,9,4,2,23,14,8,22,7,17,13,9,2,2,65,39,3,6,4,3,447
Andhra Pradesh,East Godavari,Mandapeta,2019,30,3,15,17,0,11,12,87,4,13,2,3,2,0,3,20,11,3,12,3,9,8,6,1,1,48,27,0,3,2,1,357
Andhra Pradesh,East Godavari,Rajanagaram,2019,8,2,5,3,3,2,6,13,1,9,3,2,5,0,0,5,2,2,9,1,3,2,2,0,0,15,10,0,0,0,0,113
Andhra Pradesh,East Godavari,Rajahmundry City,2019,88,30,50,58,28,58,40,46,33,47,38,39,31,36,30,51,41,43,59,42,33,22,25,20,21,110,27,18,12,22,11,1209
Andhra Pradesh,East Godavari,Rajahmundry Rural,2019,42,6,19,23,3,16,14,97,1,19,8,3,11,4,2,21,2,4,23,4,16,3,4,2,0,68,35,1,9,6,3,469
Andhra Pradesh,East Godavari,Jaggampeta,2019,13,4,8,12,0,6,6,10,1,9,2,3,4,1,0,5,2,2,9,1,3,2,2,0,0,15,30,0,0,1,2,153
Andhra Pradesh,East Godavari,Rampachodavaram,2019,9,2,5,4,3,2,6,15,1,9,3,2,5,0,0,5,2,2,9,1,3,2,2,6,5,22,35,4,3,1,0,168
Andhra Pradesh,West Godavari,Kovvur,2019,33,3,19,15,0,14,12,11,3,15,2,3,2,0,3,18,11,3,12,3,9,8,6,1,1,51,34,6,5,2,3,308
Andhra Pradesh,West Godavari,Nidadavole,2019,37,5,29,12,0,19,7,78,6,56,16,17,10,21,10,84,34,13,120,13,23,0,49,13,7,134,265,36,32,28,50,1224
Andhra Pradesh,West Godavari,Achanta,2019,31,8,21,16,1,18,5,43,9,36,11,14,5,22,12,54,15,8,11,4,8,6,3,0,8,26,31,11,6,3,2,448
Andhra Pradesh,West Godavari,Palakollu,2019,140,34,245,137,30,86,70,198,21,130,12,23,40,38,15,198,130,89,200,10,38,7,19,18,8,187,142,28,15,19,8,2335
Andhra Pradesh,West Godavari,Narasapuram,2019,91,29,47,66,25,33,45,63,19,58,22,35,25,31,11,56,67,78,53,5,11,19,6,7,5,89,78,17,12,14,4,1121
Andhra Pradesh,West Godavari,Bhimavaram,2019,27,4,59,38,20,68,89,124,27,133,68,49,24,9,17,205,113,38,31,16,26,7,19,54,19,176,128,98,67,52,37,1842
Andhra Pradesh,West Godavari,Undi,2019,24,17,12,19,15,25,31,29,21,56,41,33,21,13,11,45,38,69,18,11,13,4,12,49,13,33,29,31,8,28,21,790
Andhra Pradesh,West Godavari,Tanuku,2019,38,14,28,30,7,87,132,78,8,198,75,39,19,76,45,265,147,24,74,0,15,0,34,16,27,134,100,28,19,76,86,1919
Andhra Pradesh,West Godavari,Tadepalligudem,2019,85,48,33,29,11,18,31,25,18,45,64,71,26,41,38,89,77,56,31,16,12,8,7,14,21,31,45,36,17,37,21,1101
Andhra Pradesh,West Godavari,Unguturu,2019,75,20,48,76,84,38,49,135,64,62,27,30,47,47,18,134,102,31,19,1,20,5,13,27,10,46,57,21,16,64,35,1421
Andhra Pradesh,West Godavari,Denduluru,2019,47,12,9,36,14,3,14,18,2,4,27,16,0,0,14,13,5,18,7,0,15,0,20,17,6,3,4,12,26,11,0,373
Andhra Pradesh,West Godavari,Eluru,2019,110,67,31,22,19,15,26,29,19,12,21,18,15,16,41,58,65,51,13,18,21,11,19,33,25,0,8,16,31,15,23,868
Andhra Pradesh,West Godavari,Gopalapuram,2019,75,12,35,41,12,11,8,98,29,102,74,34,21,16,0,247,19,28,40,2,8,0,12,24,19,7,24,3,2,0,10,1013
Andhra Pradesh,West Godavari,Polavaram,2019,31,21,18,15,19,24,29,12,8,37,23,9,11,19,2,12,33,45,26,18,5,23,16,19,21,4,28,18,15,5,8,574
Andhra Pradesh,West Godavari,Chintalapudi,2019,10,21,14,7,2,13,2,4,0,14,7,1,4,7,3,12,13,20,7,3,11,1,6,2,12,7,31,14,14,20,30,312
Andhra Pradesh,Krishna,Tiruvuru,2019,54,28,36,18,21,42,27,19,0,11,0,14,49,0,0,25,12,31,11,0,55,6,17,27,0,18,26,33,18,4,18,620
Andhra Pradesh,Krishna,Nuzvid,2019,89,66,71,13,25,37,29,98,14,21,18,33,0,6,9,19,29,31,26,0,28,46,32,69,47,31,28,12,19,63,5,1014
Andhra Pradesh,Krishna,Gannavaram,2019,104,32,34,20,47,120,20,300,34,29,38,50,8,10,40,18,24,8,16,0,14,24,8,30,0,1,10,8,28,20,26,1121
Andhra Pradesh,Krishna,Gudivada,2019,156,83,29,69,35,21,67,111,0,78,83,27,0,21,0,11,19,35,22,5,8,19,21,8,16,3,28,44,27,14,11,1071
Andhra Pradesh,Krishna,Kaikalur,2019,15,20,35,42,11,18,27,31,0,24,0,7,9,19,22,42,56,12,23,31,5,10,17,6,0,2,1,0,16,28,14,543
Andhra Pradesh,Krishna,Pedana,2019,53,27,44,75,89,92,108,11,7,41,56,0,64,8,0,12,123,51,11,0,4,0,3,14,13,32,21,42,14,18,21,1054
Andhra Pradesh,Krishna,Machilipatnam,2019,45,120,11,55,27,32,18,21,33,49,56,69,3,0,9,11,24,78,17,35,6,37,22,15,28,6,9,1,10,16,42,905
Andhra Pradesh,Krishna,Avanigadda,2019,12,0,21,34,45,56,61,7,24,29,0,39,41,56,5,2,17,33,87,44,11,0,19,47,0,32,27,15,33,47,12,856
Andhra Pradesh,Krishna,Pamarru,2019,50,11,21,13,55,31,27,71,227,5,67,0,21,0,0,55,23,89,29,0,16,0,39,58,0,3,29,77,13,18,32,1080
Andhra Pradesh,Krishna,Penamaluru,2019,11,8,15,45,51,37,21,12,0,18,28,36,0,66,61,43,26,31,88,98,5,31,12,9,15,10,45,69,61,52,17,1021
Andhra Pradesh,Krishna,Vijayawada West,2019,214,25,204,154,20,147,14,300,14,32,0,14,19,29,0,154,3,154,264,0,9,2,17,10,121,19,19,49,10,12,37,2066
Andhra Pradesh,Krishna,Vijayawada Central,2019,167,84,197,207,19,120,94,378,0,102,84,8,14,83,20,152,9,13,94,49,23,4,39,0,6,110,0,9,7,0,0,2092
Andhra Pradesh,Krishna,Vijayawada East,2019,120,64,187,134,15,136,8,294,19,20,16,23,27,38,11,100,0,124,103,19,2,0,16,4,100,24,14,20,6,16,7,1667
Andhra Pradesh,Krishna,Mylavaram,2019,45,14,75,12,8,87,13,67,0,14,9,0,34,10,5,0,1,38,29,20,16,9,8,2,0,29,21,16,11,6,20,619
Andhra Pradesh,Krishna,Nandigama,2019,120,87,101,84,31,135,14,187,53,21,18,37,0,0,0,200,3,120,114,0,3,0,29,6,75,12,32,14,4,0,19,1519
Andhra Pradesh,Krishna,Jaggayyapeta,2019,49,51,69,38,22,109,45,80,68,12,31,29,7,19,41,156,31,66,21,37,9,2,14,10,0,37,18,52,33,1,6,1163
Andhra Pradesh,Guntur,Pedakurapadu,2019,120,6,21,34,9,25,24,19,5,21,6,8,24,4,13,23,14,8,104,7,34,13,9,18,2,65,39,3,9,4,11,702
Andhra Pradesh,Guntur,Tadikonda,2019,25,33,81,65,43,58,20,67,0,5,12,43,68,31,28,59,0,19,70,0,34,48,0,21,0,36,28,2,28,17,0,941
Andhra Pradesh,Guntur,Mangalagiri,2019,230,50,104,33,28,48,69,31,19,14,8,0,12,0,0,6,7,86,24,10,55,24,38,11,66,2,45,68,16,23,18,1145
Andhra Pradesh,Guntur,Ponnuru,2019,48,8,21,17,4,32,11,27,0,5,0,10,19,4,15,20,2,4,49,11,2,19,12,7,2,45,50,7,0,3,1,455
Andhra Pradesh,Guntur,Vemuru,2019,33,180,55,40,31,18,26,45,61,11,23,32,81,7,18,38,125,88,90,12,8,0,2,51,0,43,21,31,35,21,10,1236
Andhra Pradesh,Guntur,Repalle,2019,42,6,19,23,3,16,14,29,1,19,8,3,11,4,2,21,2,4,23,4,16,3,4,2,0,68,35,1,9,6,3,401
Andhra Pradesh,Guntur,Tenali,2019,156,23,61,49,52,19,25,37,4,11,28,8,34,58,67,90,22,67,18,0,5,10,24,17,3,41,15,21,4,12,5,986
Andhra Pradesh,Guntur,Bapatla,2019,105,31,54,22,41,59,63,16,45,6,11,0,21,35,8,47,56,78,3,12,28,0,2,33,51,10,31,18,3,33,2,924
Andhra Pradesh,Guntur,Prathipadu,2019,34,12,28,14,19,29,24,10,8,20,29,11,24,11,0,38,15,24,27,14,8,11,27,11,24,34,34,11,6,10,12,579
Andhra Pradesh,Guntur,Guntur West,2019,124,79,201,75,33,116,21,134,58,0,45,62,11,0,19,148,39,130,112,22,39,68,41,21,0,17,11,36,48,51,8,1769
Andhra Pradesh,Guntur,Guntur East,2019,188,45,147,162,98,84,0,157,5,51,28,35,27,59,0,81,15,97,56,0,5,0,11,3,24,63,31,16,28,49,3,1568
Andhra Pradesh,Guntur,Chilakaluripet,2019,96,58,35,12,45,11,29,5,0,18,49,0,1,61,25,10,33,0,12,19,59,4,22,7,0,32,34,9,14,21,7,728
Andhra Pradesh,Guntur,Narasaraopet,2019,35,24,21,21,19,10,8,6,13,7,16,18,6,0,26,24,13,20,12,2,17,0,6,19,0,7,14,12,6,1,0,383
Andhra Pradesh,Guntur,Sattenapalle,2019,45,15,28,11,9,14,11,8,0,7,0,16,20,7,0,16,8,12,18,15,21,8,12,2,4,14,8,6,0,24,1,360
Andhra Pradesh,Guntur,Vinukonda,2019,100,23,49,10,69,11,37,2,12,44,63,19,18,4,61,22,0,11,23,52,10,3,67,36,9,2,0,23,35,44,21,880
Andhra Pradesh,Guntur,Gurajala,2019,155,56,31,45,21,65,84,0,30,31,42,0,11,2,42,25,33,81,47,61,15,0,43,21,42,1,11,21,40,64,13,1133
Andhra Pradesh,Guntur,Macherla,2019,55,23,44,67,12,18,21,39,45,66,68,10,0,8,0,24,16,49,62,11,85,0,2,33,53,24,77,20,33,48,3,1016
Andhra Pradesh,Prakasam,Yerragondapalem,2019,68,89,45,91,107,22,34,59,40,0,4,12,37,49,55,61,19,24,37,18,5,22,12,67,0,16,30,6,47,59,2,1137
Andhra Pradesh,Prakasam,Darsi,2019,87,143,28,56,49,31,62,85,99,64,38,17,28,60,11,19,51,15,5,39,0,0,8,27,0,63,36,11,9,26,5,1172
Andhra Pradesh,Prakasam,Parchur,2019,54,87,44,65,89,92,108,11,7,41,56,0,64,8,0,12,123,51,11,0,4,0,3,14,13,32,21,42,14,18,21,1105
Andhra Pradesh,Prakasam,Addanki,2019,125,6,28,34,19,25,24,15,10,22,16,8,24,4,13,23,14,8,104,7,34,13,9,18,2,65,39,3,9,4,11,736
Andhra Pradesh,Prakasam,Chirala,2019,77,65,142,49,55,12,6,0,25,33,41,56,13,46,28,17,39,11,33,25,0,5,10,24,6,40,33,52,21,28,8,1000
Andhra Pradesh,Prakasam,Santhanuthalapadu,2019,142,72,45,59,21,55,13,9,2,10,53,45,16,0,59,38,74,37,22,11,6,8,38,49,0,18,2,39,17,21,15,996
Andhra Pradesh,Prakasam,Ongole,2019,48,6,87,67,12,21,28,67,17,3,0,0,14,29,7,56,25,49,69,0,19,0,24,40,39,19,12,26,20,5,3,812
Andhra Pradesh,Prakasam,Kandukur,2019,24,38,88,41,59,95,0,11,116,37,62,85,10,18,0,42,30,13,25,9,11,52,16,7,0,2,5,7,30,15,2,950
Andhra Pradesh,Prakasam,Kondapi,2019,127,24,43,31,57,88,91,10,0,5,12,33,59,45,17,25,38,40,57,21,11,6,2,20,0,63,29,31,5,2,1,993
Andhra Pradesh,Prakasam,Markapuram,2019,8,25,34,19,125,24,19,5,28,69,8,24,4,13,23,14,8,104,7,34,13,9,18,2,65,39,3,9,4,11,5,773
Andhra Pradesh,Prakasam,Giddalur,2019,17,5,13,20,2,9,11,15,4,14,8,2,7,3,3,13,1,3,15,5,11,3,1,2,3,24,31,5,6,3,2,261
Andhra Pradesh,Prakasam,Kanigiri,2019,24,2,17,21,7,34,45,19,6,11,1,16,29,31,0,18,45,27,38,9,4,0,18,26,10,35,42,64,20,1,5,625
Andhra Pradesh,Nellore,Kavali,2019,45,11,9,16,10,54,67,89,20,18,21,9,6,1,0,12,17,28,31,3,11,32,47,10,8,2,19,27,39,64,4,730
Andhra Pradesh,Nellore,Atmakur,2019,35,8,24,26,11,60,34,31,12,0,14,17,0,19,23,26,32,3,8,38,47,2,16,62,0,11,10,21,25,6,10,631
Andhra Pradesh,Nellore,Kovur,2019,19,16,10,20,12,45,31,8,5,11,14,24,31,38,26,0,30,11,43,59,35,0,22,26,3,7,9,11,13,17,2,598
Andhra Pradesh,Nellore,Nellore City,2019,87,23,102,74,29,24,58,47,24,16,28,14,28,17,0,3,48,38,27,35,12,0,4,13,2,15,20,34,24,9,12,867
Andhra Pradesh,Nellore,Nellore Rural,2019,14,10,13,7,3,5,8,6,13,7,16,18,6,0,26,24,13,20,12,2,17,0,6,19,0,7,14,12,6,1,0,305
Andhra Pradesh,Nellore,Sarvepalli,2019,35,7,21,13,7,23,16,11,0,10,19,8,20,42,0,67,11,28,29,8,6,14,19,22,0,1,21,0,7,0,25,490
Andhra Pradesh,Nellore,Gudur,2019,45,21,8,4,13,19,23,0,18,62,27,6,10,21,2,41,21,4,6,6,20,0,38,31,0,11,34,40,14,9,10,564
Andhra Pradesh,Nellore,Sullurpeta,2019,38,9,18,27,1,56,33,19,21,71,31,0,5,38,36,58,17,6,0,0,18,16,17,8,0,19,31,29,2,18,42,684
Andhra Pradesh,Nellore,Venkatagiri,2019,29,16,12,17,4,41,45,56,49,18,25,51,11,8,12,32,59,21,31,51,11,0,0,12,0,21,28,32,1,11,16,720
Andhra Pradesh,Nellore,Udayagiri,2019,24,14,38,9,15,11,10,63,55,0,11,29,28,5,0,4,5,12,28,29,0,7,42,15,32,26,6,47,24,7,9,605
Andhra Pradesh,Kadapa,Badvel,2019,37,2,45,29,9,91,0,8,15,7,13,33,31,19,0,12,20,5,6,33,37,11,21,24,1,30,24,27,16,4,20,630
Andhra Pradesh,Kadapa,Rajampet,2019,47,51,69,38,24,104,45,76,68,12,28,29,7,19,41,150,31,24,21,37,9,2,14,10,0,31,18,52,29,1,5,1092
Andhra Pradesh,Kadapa,Kadapa,2019,217,45,187,27,34,146,38,71,16,8,0,50,16,0,21,29,17,49,37,68,8,0,24,19,9,11,23,34,19,28,10,1261
Andhra Pradesh,Kadapa,Kodur,2019,94,14,28,33,45,12,19,22,0,28,16,15,33,29,0,12,18,24,36,42,13,5,8,11,0,23,29,14,17,9,2,651
Andhra Pradesh,Kadapa,Rayachoti,2019,67,12,24,14,10,16,0,18,4,9,22,34,47,7,3,26,31,42,20,2,11,0,23,25,34,16,15,7,10,1,0,550
Andhra Pradesh,Kadapa,Pulivendla,2019,43,10,21,5,15,3,3,21,0,16,16,0,11,0,11,0,18,22,40,0,31,28,45,12,8,17,11,21,13,5,7,453
Andhra Pradesh,Kadapa,Kamalapuram,2019,41,4,18,25,23,5,10,10,9,0,10,6,0,4,0,43,0,10,24,17,29,6,8,21,11,14,22,9,13,7,2,401
Andhra Pradesh,Kadapa,Jammalamadugu,2019,38,12,6,16,19,22,9,0,4,24,4,3,12,0,0,22,5,3,31,21,13,0,21,0,0,35,31,12,29,42,4,438
Andhra Pradesh,Kadapa,Proddatur,2019,34,7,1,24,11,0,19,2,8,29,0,7,20,8,6,31,17,0,18,0,24,14,15,7,13,30,64,11,35,5,3,463
Andhra Pradesh,Kadapa,Mydukur,2019,9,2,4,4,2,3,7,11,1,9,3,3,4,1,0,20,13,5,13,5,7,0,7,3,2,28,19,3,1,2,2,193
Andhra Pradesh,Kurnool,Allagadda,2019,16,6,13,5,0,2,4,8,10,25,11,8,16,5,4,18,4,9,36,16,11,4,0,12,16,57,69,28,0,4,1,418
Andhra Pradesh,Kurnool,Srisailam,2019,112,28,100,16,17,21,0,29,34,17,0,49,19,19,0,47,8,19,12,27,27,16,19,20,0,158,134,19,7,17,3,994
Andhra Pradesh,Kurnool,Nandikotkur,2019,24,0,22,14,7,6,3,19,11,8,2,15,0,7,0,4,0,11,0,0,1,0,2,3,5,14,28,2,8,9,10,235
Andhra Pradesh,Kurnool,Kurnool,2019,134,58,117,19,27,81,45,0,38,138,23,35,0,0,45,174,35,0,29,18,26,46,38,27,19,124,138,14,42,29,12,1531
Andhra Pradesh,Kurnool,Panyam,2019,97,21,88,8,19,33,18,5,10,0,12,21,42,9,0,0,7,3,5,22,19,7,12,33,59,45,63,24,31,10,4,727
Andhra Pradesh,Kurnool,Nandyal,2019,42,34,64,25,11,40,49,0,15,31,10,33,29,4,12,20,13,17,23,9,14,0,25,10,47,64,11,2,18,3,1,676
Andhra Pradesh,Kurnool,Banaganapalle,2019,21,19,47,42,26,24,26,8,0,29,4,19,34,11,14,31,4,13,19,11,21,8,32,28,51,23,8,12,14,6,2,607
Andhra Pradesh,Kurnool,Dhone,2019,15,5,13,20,2,8,11,15,4,14,0,2,7,3,3,13,1,1,15,5,11,3,1,2,3,46,31,5,6,3,2,270
Andhra Pradesh,Kurnool,Pattikonda,2019,8,1,3,3,0,2,6,10,0,8,2,2,3,0,0,5,2,2,9,1,3,2,2,0,0,15,10,0,0,0,0,99
Andhra Pradesh,Kurnool,Kodumur,2019,34,29,14,13,32,21,42,14,18,21,10,22,2,41,21,0,11,19,21,16,21,11,21,30,17,10,32,2,18,5,11,579
Andhra Pradesh,Kurnool,Yemmiganur,2019,48,36,18,2,65,39,3,9,4,11,5,38,36,58,17,9,0,11,0,29,17,19,25,17,25,20,5,2,9,1,3,581
Andhra Pradesh,Kurnool,Mantralayam,2019,78,19,82,9,17,20,29,6,14,0,16,9,29,3,0,8,24,17,5,25,11,0,16,15,8,87,69,7,14,20,9,666
Andhra Pradesh,Kurnool,Adoni,2019,75,12,35,41,12,11,8,98,29,102,74,34,21,16,0,247,19,28,40,2,8,0,12,24,19,7,24,3,2,0,10,1013
Andhra Pradesh,Kurnool,Alur,2019,19,8,21,15,1,24,11,0,28,26,9,48,19,51,32,8,16,0,13,0,45,8,21,13,75,39,30,22,27,1,4,634
Andhra Pradesh,Anantapur,Rayadurg,2019,11,18,33,64,10,21,0,5,49,12,11,8,25,69,17,20,6,2,18,33,16,0,33,20,0,27,13,0,3,13,6,563
